mcap_past_pk,uuid,asset_symbol,mcap_date,mcap_value,asset_name,currency,created_dt,created_by,created_proc
17392,64535d5d4a6e0a5e3a6399cd,1inch,2023-03-01T00:00:00.000+08:00,496954345.231354,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17393,64535d5d4a6e0a5e3a6399d3,1inch,2023-03-02T00:00:00.000+08:00,491568343.663916,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17394,64535d5d4a6e0a5e3a6399f2,1inch,2023-03-03T00:00:00.000+08:00,470859913.678253,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17395,64535d5d4a6e0a5e3a639a0c,1inch,2023-03-04T00:00:00.000+08:00,443280038.742794,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17396,64535d5d4a6e0a5e3a639a28,1inch,2023-03-05T00:00:00.000+08:00,440035740.60161,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17397,64535d5d4a6e0a5e3a639a43,1inch,2023-03-06T00:00:00.000+08:00,441442362.396711,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17398,64535d5d4a6e0a5e3a639a4d,1inch,2023-03-07T00:00:00.000+08:00,444049410.994458,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17399,64535d5d4a6e0a5e3a639a6d,1inch,2023-03-08T00:00:00.000+08:00,425231559.54753,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17400,64535d5d4a6e0a5e3a639a7d,1inch,2023-03-09T00:00:00.000+08:00,414023298.914643,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
17401,64535d5d4a6e0a5e3a639a95,1inch,2023-03-10T00:00:00.000+08:00,400366548.93837,1inch,usd,2023-05-05T07:25:50.866+08:00,farmraider,wrangler_assets_etl_CryptoMarket function <nosql_to_sql>
